origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
Italy,IT,United Kingdom,GB,rail,pallet,cosmetics,330499,1200,21000,no,,no,,Temperature control; tamper-evident seals; labeling per destination
France,FR,Singapore,SG,air,box,electronics (consumer),851712,23,250,yes,ENISA/IEC safety standards; lithium battery restrictions; DG declarations,no,,Shipper/receiver safety documentation; regulatory compliance packets
Netherlands,NL,Indonesia,ID,courier,envelope,cosmetics,330499,0.5,300,no,,no,,Sealed inner sachets; compliant labeling; origin-country certificates
United States,US,Spain,ES,road,box,fresh fruit/vegetables,80810,23,9000,no,,no,,Controlled atmosphere packaging; temperature 0-4C; rapid delivery
India,IN,United Kingdom,GB,sea,crate,live animal,10619,900,24000,yes,"Quarantine, veterinary checks; import permit",no,,Containerized cages; biosecurity measures; traceability
China,CN,India,IN,rail,box,chemical (industrial solvent),382200,1000,18000,yes,Hazardous material compliance; IMDG; spill response; packaging integrity,no,,Secondary containment; hazmat placards; secure transfer
United Kingdom,GB,United States,US,courier,envelope,cosmetics,330499,0.5,200,no,,no,,Tamper-evident seals; compliant labeling; customer notification
India,IN,United States,US,air,box,lithium-ion battery,850760,2,180,yes,IATA DG declaration required; UN38.3 testing for lithium batteries; carrier approval,no,,UN-certified packaging required; strong outer packaging; temperature control optional for some cells
China,CN,Germany,DE,air,box,electronics (consumer),851712,23,240,no,,no,,Tamper-evident seals; spare parts without batteries; comply with CE labeling
Brazil,BR,Japan,JP,sea,crate,fresh fruit/vegetables,80810,1000,28000,no,,no,,Cold chain maintained; proper venting; fumigation certificate
United States,US,Canada,CA,rail,crate,pharmaceutical (prescription),300490,500,21000,yes,Pharmacovigilance documentation; import license; GMP compliance,no,,Tamper-evident seals; controlled-room temperature; packaging integrity validation
Germany,DE,France,FR,road,box,chemical (industrial solvent),382200,32,15000,yes,HAZMAT classification; MSDS; ADR compliance; dangerous goods declaration,no,,Hazmat labels; UN-approved packaging; secondary containment
Australia,AU,Singapore,SG,courier,envelope,pharmaceutical (prescription),300490,2,80,yes,IATA DG declaration; controlled substance controls; prescription verification,no,,Seal integrity; patient identifiers removed when billing; cold chain if needed
South Korea,KR,United Kingdom,GB,air,box,cosmetics,330499,23,150,no,,no,,COSMETICS require tamper-evident packaging; cosmetic labeling per EU
Japan,JP,Australia,AU,sea,pallet,live animal,10619,1000,25000,yes,Veterinary certificate; import permit; animal health checks,yes,Biosecurity risk; quarantine rules may apply,Environmentally controlled; proper containment; proof of origin
Netherlands,NL,Spain,ES,road,box,plant/seed,120991,40,12000,yes,Phytosanitary certificate; seed lot numbers; import permit,no,,Temperature and humidity controls; clean packaging; seed traceability labels
India,IN,United Kingdom,GB,air,box,alcoholic beverages,220830,23,150,yes,Excise/licensing compliance; tax marks; retail distribution rights,no,,Tamper-evident seals; age verification controls; proper bottle packaging
Canada,CA,Mexico,MX,multimodal,box,electronics (consumer),851712,23,5000,no,,no,,Moisture-control packaging; discreet labeling; secure palletization
France,FR,Italy,IT,road,crate,toy (small),950300,1000,18000,no,,no,,Packaging compliant with safety standards; child-proof packaging; tracing labels
Italy,IT,Netherlands,NL,rail,crate,used clothing,630900,500,20000,no,,no,,Original factory packaging; lint-free; bagged individually for inspection
Spain,ES,Canada,CA,sea,pallet,pharmaceutical (prescription),300490,800,26000,yes,Health authority clearance; import license; GMP compliance,no,,Cold chain; data loggers; temperature monitoring
United Kingdom,GB,Saudi Arabia,SA,air,box, cosmetics,330499,23,120,yes,Import license; cosmetics safety assessment; product notification,no,,Tamper-evident seals; batch specific labeling; VOC content disclosure
Singapore,SG,United States,US,courier,envelope,pharmaceutical (prescription),300490,2,60,yes,IATA DG declaration; controlled substance controls; prescription verification,no,,Sealed inner pouch; privacy-compliant labeling; allergy information omitted
Indonesia,ID,Saudi Arabia,SA,air,box,live animal,10619,2,90,yes,Quarantine inspection; veterinary certificate; import permit,yes,Biosecurity risk; restricted species,Isolation packaging; restricted access for handlers; proper containment
Mexico,MX,Spain,ES,sea,pallet,chemical (industrial solvent),382200,5000,25000,yes,DG classification; MSDS; ADR compliance; packaging checks,no,,UN packaging; secondary containment; ventilation
Saudi Arabia,SA,Canada,CA,rail,crate,used clothing,630900,400,14000,no,,no,,Stackable crates; moisture protection; inspection-ready packing
United States,US,Japan,JP,multimodal,box,electronic (consumer),851712,23,1800,no,,no,,Secure anti-theft seals; palletized where needed; electrical safety labeling
China,CN,India,IN,air,box,pharmaceutical (prescription),300490,2,120,yes,Pharmacovigilance and import license; controlled substances controls,no,,Cold chain; insulated packaging; temperature loggers
Germany,DE,South Africa,ZA,sea,pallet,live animal,10619,1000,26000,yes,Quarantine rules; veterinary checks; import permit,yes,Significant biosecurity risk; species restrictions,Isolation containers; negative pressure as applicable; chain of custody
France,FR,Netherlands,NL,courier,envelope,cosmetics,330499,2,40,no,,no,,Mercury-free cosmetics; air-tight packaging; batch labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,5,200,yes,IATA DG declaration required; Lithium battery restrictions apply for air transport; operator approval may be needed,yes,Counterfeit lithium battery sets prohibited under both countries' regulations,UN3480/UN3481 compliant packaging; temperature-controlled handling where applicable; tamper-evident seals
China,CN,Germany,DE,sea,crate,electronic consumer electronics,851712,1000,25000,no,,no,,UN certified pallets; ensure moisture protection; shock-absorbent fillers
Brazil,BR,Spain,ES,courier,box,cosmetics,330499,2,300,no,,no,,Tamper-evident seals; cosmetic safety data sheets; temperature control not required
Japan,JP,Canada,CA,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Pharmacy export/import controls; prescription validation; customs clearance may require translated labels,no,,Sealed primary packaging; medical courier chain-of-custody; IATA DG documentation if applicable
United Kingdom,GB,Australia,AU,multimodal,pallet,fresh fruit/vegetables,80810,1000,18000,no,,no,,Temperature controlled 2-8°C where needed; breathable packaging; traceability labels
South Korea,KR,Japan,JP,sea,crate,live animal,10619,500,22000,yes,Licences for live animal transport; veterinary health certificates; species-specific permits,yes,Wildlife protection concerns; animal welfare regulations,Specialized containment; climate control; humane handling; vet inspection documentation
United States,US,Mexico,MX,road,box,pharmaceutical (prescription),300490,30,15000,yes,Import license; pharmaceutical GMP verification; cross-border registration,no,,Temperature control where required; sealed tamper-evident packaging
Germany,DE,France,FR,rail,pallet,chemical (industrial solvent),382420,700,23000,yes,Hazardous chemical handling; MSDS; packaging in corrosive/flammable compliant containers,yes,Certain solvents restricted due to EU/UN classifications,Hazmat labels; UN standard packaging; temperature control if volatile
Italy,IT,Netherlands,NL,air,box,electronic devices (consumer),851712,23,260,no,,no,,Secure anti-static packaging; ESD protection; internal cushioning
Spain,ES,United Kingdom,GB,courier,envelope,cosmetics,330499,1.5,350,no,,no,,Tamper-evident seal; avoid leakage; compliant labeling
Netherlands,NL,United States,US,sea,pallet,fruit/vegetables (fresh),80540,900,28000,no,,no,,Ventilated pallets; temperature monitoring; humidity control
Australia,AU,Canada,CA,air,box,pharmaceutical (prescription),300490,2,180,yes,Pharmacy export licenses; controlled-substance handling policies,no,,Cold-chain compliant packaging; validated cold packs; chain-of-custody documentation
Canada,CA,United States,US,rail,crate,live animal,10619,200,17000,yes,Veterinary certification; species-specific import permits; quarantine requirements,yes,Animal welfare violations or disease risks,Secure transport containers; temperature control; veterinary inspection documentation
India,IN,Saudi Arabia,SA,road,box,used clothing,630900,25,12000,no,,no,,Protective wrapping; moisture barrier; fabric care labels
China,CN,Singapore,SG,multimodal,pallet,counterfeit goods,0,2000,15000,yes,Counterfeit goods trade prohibitions; customs risk profiling,yes,Counterfeit items strictly prohibited; enforcement risk,Extensive chain-of-custody; tamper-evident seals; restricted party screening
Saudi Arabia,SA,United Arab Emirates,AE,air,box,alcoholic beverages,220830,2,250,yes,Import license; excise tax; labeling and age verification,no,,Temp-controlled packaging; sealed containers; air courier legalization
Indonesia,ID,Spain,ES,sea,crate,pharmaceutical (prescription),300490,500,21000,yes, GMP verification; import clearance; pharmaceutical license,no,,Cold-chain compatible packaging; validated temperature data loggers
France,FR,Italy,IT,rail,box,toys,950300,20,9000,no,,no,,Safe packaging; blister-free designs; age-appropriate labeling
 Netherlands,NL,Brazil,BR,road,crate,live animal,10619,150,20000,yes,Quarantine controls; veterinary certificates; import permits,yes,Biosecurity risk; disease containment rules,Secure crate design; ventilation; species-specific handling procedures
United Arab Emirates,AE,United Kingdom,GB,courier,envelope,pharmaceutical (prescription),300490,1,120,yes,Pharmacy licensing; controlled-substance tracking; customs clearance,no,,Cold-chain if required; secure closure; documentation for cross-border movement
India,IN,United States,US,air,box,lithium-ion battery,850760,23,500,yes,IATA DG declaration; UN38.3 testing; lithium content limits; shipper/consignee notification,no,,UN-certified packaging required; temperature monitoring not needed for dry cells; tamper-evident seals
China,CN,Canada,CA,air,envelope,pharmaceutical (prescription),300490,2,400,yes,Pharmacy license; import permit; cold-chain not required but monitoring recommended,no,,Sealed pharmaceutical packaging; cold-chain if required by product; pharma-DAT baggage handling
Germany,DE,Spain,ES,sea,box,cosmetics,330499,1000,25000,no,,no,,Hazard analysis; cosmetic safety report optional for large shipments; tamper-evident seals
United Kingdom,GB,Australia,AU,sea,pallet,fresh fruit/vegetables,80810,1000,20000,no,,no,,Temperature-controlled containers; reefer units; pre-shipment fumigation not required
Brazil,BR,Japan,JP,air,box,live animal,10619,23,300,yes,Veterinary certificate; import permit; phyto/veterinary health checks,yes,Biosecurity risk; horse/may include endangered species risk,Specialized crates; secured packing; veterinary oversight
United States,US,South Korea,KR,courier,envelope,pharmaceutical (prescription),300490,2,500,yes,IATA DG declaration; controlled substance controls; licensing,no,,Sealed tamper-evident packaging; rapid transit lane; cold-chain if required
India,IN,United Kingdom,GB,rail,crate,electronics (consumer),851712,5000,20000,no,,no,,Shock-absorbing internal packing; anti-static liner; secure palletization
China,CN,Netherlands,NL,sea,crate,electronics (consumer),851712,5000,25000,no,,no,,Seal containers; temperature controlled if needed; accurate labeling
Japan,JP,Singapore,SG,air,box,toys,950300,23,300,no,,no,,Original manufacturer packaging; child-safety labeling where applicable
France,FR,Italy,IT,road,box,chemical (industrial solvent),382200,100,12000,yes,Hazmat classification; IATA/IMDG compliance where applicable; MSDS,yes,Flammable solvent; strong regulatory restrictions,Hazmat approved packaging; leakage containment; explicit hazard labeling
Canada,CA,Mexico,MX,road,box,chemical (industrial solvent),382200,100,15000,yes,Hazmat training; permit; placarding; spill kit,no,,Leak-proof secondary containment; proper hazmat labeling; weatherproof packaging
Italy,IT,Spain,ES,multimodal,pallet,pharmaceutical (prescription),300490,1000,22000,yes,Export license; import permit; cold-chain validation,no,,Tamper-evident seals; validated cold chain; GMP-compliant packaging
